Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
35-44,Male,Filipino,Deira / Bur Dubai / Al Karama,"10,001-20,000",English,Every 2 weeks,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Very loyal,Recommendation from a friend or influencer,26-50% more,Body care; Haircare; Oral care,Not Important,Somewhat Important,Not Important,Very Important,Somewhat Important,Somewhat Important,Multi-use / hybrid products,Ramadan / Eid al-Fitr; Diwali,"Yes, occasionally (2-4 times/year)",Environmental sustainability,In-store browsing; Celebrity endorsements,Slightly,No,Bundle deal,Likely,Neutral
35-44,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Jumeirah / Umm Suqeim,"Below 5,000",Arabic,Every 2-3 months,Below 50,"Pharmacies (BinSina, Aster, Life Pharmacy); Brand websites / D2C apps",Loyalty rewards / cashback,Somewhat loyal,Halal / clean / organic certification,Up to 10% more,Face skincare; Haircare; Personal hygiene,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Essential,Sheet masks / single-use treatments,Diwali,Rarely (once a year or less),Social image and status; Religious compliance (halal),Instagram,Not at all,Probably,Bundle deal,Neutral,Neutral
25-34,Male,"East Asian (Chinese, Korean, Japanese)",Other,"35,001-50,000",English,Monthly,Above 700,Duty-free shops,Trusted recommendations / expert staff,Low loyalty,Lower price / better value; Availability in my preferred store,26-50% more,Body care; Fragrance / perfume / oud; Men's grooming,Very Important,Somewhat Important,Not Important,Very Important,Not Important,Essential,Multi-use / hybrid products; Spray / mist,Ramadan / Eid al-Fitr; Eid al-Adha; Christmas / New Year,Rarely (once a year or less),Religious compliance (halal),Instagram; TikTok,Moderately,No,Free shipping,Likely,Very interested
35-44,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"Below 5,000",Arabic,Monthly,50-100,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon); Duty-free shops",Best prices / discounts,No loyalty,Lower price / better value,0% - would not pay more,Body care; Haircare; Fragrance / perfume / oud; Oral care,Essential,Somewhat Important,Essential,Somewhat Important,Very Important,Essential,Lightweight gel / water-based; Spray / mist,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Heritage and tradition; Social image and status,In-store browsing; YouTube; TikTok,Slightly,Probably,Bundle deal,Likely,Neutral
25-34,Male,"East Asian (Chinese, Korean, Japanese)",Mirdif / Al Warqa / Rashidiya,"20,001-35,000",English,Monthly,401-700,Brand websites / D2C apps; Baqala / convenience stores,Exclusive products not available elsewhere,Neutral,Halal / clean / organic certification; Personalised products,0% - would not pay more,Fragrance / perfume / oud; Men's grooming; Personal hygiene,Essential,Very Important,Very Important,Somewhat Important,Somewhat Important,Essential,Lightweight gel / water-based; Spray / mist,Ramadan / Eid al-Fitr; Diwali; Christmas / New Year; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Heritage and tradition; Scientific efficacy,Instagram,Slightly,Probably,"Percentage discount (e.g., 20% off)",Neutral,Neutral
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"5,000-10,000",English,Monthly,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops",Best prices / discounts,No loyalty,Lower price / better value,Up to 10% more,Face skincare; Body care; Haircare; Colour cosmetics / makeup,Very Important,Very Important,Very Important,Very Important,Very Important,Not Important,Serum / oil-based concentrate,None - consistent spending,Rarely (once a year or less),Heritage and tradition; Scientific efficacy,Instagram; YouTube; In-store browsing,Moderately,Probably,"Percentage discount (e.g., 20% off)",Very likely,Not interested at all
45-54,Male,African,Deira / Bur Dubai / Al Karama,"20,001-35,000",English,Weekly,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Subscription boxes",Widest product range,Low loyalty,Superior ingredients / formulation; Recommendation from a friend or influencer,11-25% more,Face skincare; Men's grooming; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Not Important,Essential,Somewhat Important,Somewhat Important,Not Important,Rich cream / butter-based,Ramadan / Eid al-Fitr; Christmas / New Year; Dubai Shopping Festival (DSF / DSS); Wedding season / family events,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),Friends / family; Google search / blogs,Slightly,No,"Percentage discount (e.g., 20% off)",Likely,Interested
18-24,Female,Filipino,Al Barsha / Discovery Gardens / JVC,"5,000-10,000",English,Every 2 weeks,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Exclusive products not available elsewhere,Somewhat loyal,Superior ingredients / formulation; Recommendation from a friend or influencer,0% - would not pay more,Face skincare,Very Important,Essential,Somewhat Important,Not Important,Very Important,Essential,Lightweight gel / water-based; Multi-use / hybrid products,Ramadan / Eid al-Fitr,Rarely (once a year or less),Heritage and tradition,Instagram; TikTok,Very strongly,Unsure,Loyalty points,Very likely,Not very interested
55+,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"10,001-20,000",Hindi / Urdu,Every 2-3 months,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon); Duty-free shops",Best prices / discounts,Somewhat loyal,Personalised products,0% - would not pay more,Fragrance / perfume / oud; Men's grooming; Colour cosmetics / makeup,Essential,Very Important,Essential,Essential,Essential,Not Important,Sheet masks / single-use treatments,Diwali,Never,Health and wellness,YouTube,Not at all,Unsure,Subscription discount,Very likely,Neutral
25-34,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Mirdif / Al Warqa / Rashidiya,"10,001-20,000",English,Monthly,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon); Duty-free shops",Exclusive products not available elsewhere,Neutral,Attractive packaging / brand story,11-25% more,Face skincare; Haircare; Fragrance / perfume / oud; Personal hygiene,Very Important,Somewhat Important,Not Important,Somewhat Important,Very Important,Somewhat Important,Multi-use / hybrid products,Ramadan / Eid al-Fitr; Diwali; None - consistent spending,"Yes, occasionally (2-4 times/year)",Health and wellness; Environmental sustainability,TikTok,Very strongly,Unsure,"Percentage discount (e.g., 20% off)",Very likely,Very interested
18-24,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Downtown / Business Bay / DIFC,"35,001-50,000",Arabic,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Subscription boxes",Ability to test / try before buying,Somewhat loyal,Superior ingredients / formulation,Up to 10% more,Oral care; Colour cosmetics / makeup,Essential,Essential,Very Important,Very Important,Not Important,Essential,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Eid al-Adha; Christmas / New Year,Rarely (once a year or less),Environmental sustainability; Religious compliance (halal),TikTok; In-store browsing,Slightly,Probably,"Percentage discount (e.g., 20% off)",Very likely,Not very interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"10,001-20,000",English,Every 2-3 months,Below 50,"Online marketplaces (Amazon.ae, Noon); Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps",Trusted recommendations / expert staff,Somewhat loyal,Personalised products,11-25% more,Body care; Fragrance / perfume / oud; Oral care,Somewhat Important,Not Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Multi-use / hybrid products,Ramadan / Eid al-Fitr; None - consistent spending,"Yes, occasionally (2-4 times/year)",Social image and status,Instagram,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Neutral,Interested
45-54,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"35,001-50,000",English,Weekly,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Low loyalty,Lower price / better value,0% - would not pay more,Face skincare; Body care; Haircare; Personal hygiene,Essential,Somewhat Important,Not Important,Somewhat Important,Essential,Essential,Multi-use / hybrid products,Eid al-Adha,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Heritage and tradition,Friends / family,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Very unlikely,Not very interested
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"Below 5,000",English,Monthly,Below 50,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Somewhat loyal,Superior ingredients / formulation,0% - would not pay more,Body care; Haircare; Oral care,Somewhat Important,Somewhat Important,Very Important,Very Important,Essential,Somewhat Important,Spray / mist,Ramadan / Eid al-Fitr; Diwali; Christmas / New Year,"Yes, occasionally (2-4 times/year)",Environmental sustainability; Health and wellness,Friends / family,Slightly,"Yes, definitely",Bundle deal,Unlikely,Not interested at all
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Other,"5,000-10,000",English,Monthly,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,No loyalty,Personalised products,11-25% more,Personal hygiene,Very Important,Somewhat Important,Very Important,Very Important,Essential,Essential,Lightweight gel / water-based; Spray / mist,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Scientific efficacy,YouTube,Slightly,"Yes, definitely",Free sample / trial size,Likely,Interested
35-44,Female,African,Dubai Marina / JBR / JLT,"10,001-20,000",English,Monthly,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Somewhat loyal,Lower price / better value; Superior ingredients / formulation,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Oral care; Colour cosmetics / makeup,Somewhat Important,Very Important,Essential,Somewhat Important,Very Important,Very Important,Rich cream / butter-based,Christmas / New Year; Dubai Shopping Festival (DSF / DSS); Wedding season / family events,"Yes, occasionally (2-4 times/year)",Social image and status; Health and wellness,Instagram; YouTube; Google search / blogs,Not at all,Probably,Buy-one-get-one-free (BOGO),Unlikely,Neutral
35-44,Male,Filipino,Deira / Bur Dubai / Al Karama,"35,001-50,000",English,Rarely / Only when needed,201-400,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Ability to test / try before buying,Somewhat loyal,Lower price / better value; Attractive packaging / brand story,Up to 10% more,Body care; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Very Important,Essential,Not Important,Very Important,Not Important,Somewhat Important,Sheet masks / single-use treatments; Serum / oil-based concentrate,Diwali; Christmas / New Year,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Environmental sustainability,TikTok,Slightly,Unsure,Buy-one-get-one-free (BOGO),Likely,Very interested
45-54,Male,"East Asian (Chinese, Korean, Japanese)",Downtown / Business Bay / DIFC,"5,000-10,000",Mandarin / Other Asian language,Every 2-3 months,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Exclusive products not available elsewhere,Somewhat loyal,Recommendation from a friend or influencer; Personalised products,0% - would not pay more,Body care; Haircare; Fragrance / perfume / oud; Men's grooming,Not Important,Somewhat Important,Not Important,Essential,Very Important,Very Important,Serum / oil-based concentrate; Sheet masks / single-use treatments,None - consistent spending,Rarely (once a year or less),Health and wellness,Instagram; Google search / blogs,Not at all,No,Subscription discount,Likely,Not interested at all
25-34,Female,Filipino,Deira / Bur Dubai / Al Karama,"Below 5,000",English,Monthly,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Neutral,Superior ingredients / formulation,Up to 10% more,Face skincare; Fragrance / perfume / oud; Colour cosmetics / makeup,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Essential,Serum / oil-based concentrate; Spray / mist,Valentine's Day / Mother's Day,"Yes, occasionally (2-4 times/year)",Heritage and tradition,Instagram; Friends / family,Moderately,Probably,"Percentage discount (e.g., 20% off)",Very likely,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Jumeirah / Umm Suqeim,"5,000-10,000",Hindi / Urdu,Every 2 weeks,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops",Best prices / discounts,Somewhat loyal,Lower price / better value; Availability in my preferred store,0% - would not pay more,Face skincare; Fragrance / perfume / oud; Personal hygiene,Somewhat Important,Somewhat Important,Somewhat Important,Not Important,Essential,Not Important,Rich cream / butter-based; Multi-use / hybrid products,Eid al-Adha; Diwali; Christmas / New Year; Dubai Shopping Festival (DSF / DSS); None - consistent spending,Rarely (once a year or less),Scientific efficacy,Instagram,Slightly,Probably,"Percentage discount (e.g., 20% off)",Likely,Neutral
25-34,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Downtown / Business Bay / DIFC,"20,001-35,000",Arabic,Every 2-3 months,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps",Best prices / discounts,Somewhat loyal,Superior ingredients / formulation,11-25% more,Body care; Fragrance / perfume / oud; Men's grooming; Oral care; Colour cosmetics / makeup,Very Important,Somewhat Important,Very Important,Not Important,Very Important,Very Important,Lightweight gel / water-based; Rich cream / butter-based,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Heritage and tradition,Friends / family; In-store browsing; YouTube,Moderately,Probably,Free sample / trial size,Likely,Neutral
55+,Female,Filipino,Jumeirah / Umm Suqeim,"5,000-10,000",English,Every 2-3 months,101-200,"Baqala / convenience stores; Duty-free shops; Pharmacies (BinSina, Aster, Life Pharmacy)",Widest product range,Neutral,Superior ingredients / formulation,11-25% more,Oral care,Not Important,Very Important,Not Important,Somewhat Important,Somewhat Important,Very Important,Multi-use / hybrid products,Christmas / New Year; Valentine's Day / Mother's Day; None - consistent spending,Rarely (once a year or less),Religious compliance (halal); Social image and status,TikTok; Friends / family; Subscription boxes,Slightly,Probably,Free sample / trial size,Likely,Neutral
55+,Non-binary / Prefer not to say,Other,Jumeirah / Umm Suqeim,"35,001-50,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Beauty specialist stores (Sephora, Faces, MAC)",Best prices / discounts,Somewhat loyal,Lower price / better value; Attractive packaging / brand story,11-25% more,Face skincare; Haircare; Men's grooming; Oral care; Personal hygiene,Not Important,Somewhat Important,Somewhat Important,Essential,Somewhat Important,Not Important,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Christmas / New Year,Rarely (once a year or less),Religious compliance (halal),Instagram; YouTube; Friends / family,Not at all,Unsure,Buy-one-get-one-free (BOGO),Neutral,Not interested at all
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Other,"Below 5,000",English,Monthly,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC)",Widest product range,Low loyalty,Lower price / better value; Personalised products,26-50% more,Face skincare; Haircare; Fragrance / perfume / oud,Somewhat Important,Essential,Somewhat Important,Very Important,Somewhat Important,Very Important,Rich cream / butter-based,Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Religious compliance (halal),Instagram; In-store browsing,Moderately,Probably,Free sample / trial size,Neutral,Not very interested
35-44,Male,"East Asian (Chinese, Korean, Japanese)",Dubai Marina / JBR / JLT,"10,001-20,000",Mandarin / Other Asian language,Monthly,50-100,"Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Convenience / delivery speed,Neutral,Superior ingredients / formulation,More than 50% more,Face skincare; Fragrance / perfume / oud; Men's grooming,Somewhat Important,Essential,Somewhat Important,Very Important,Very Important,Very Important,Lightweight gel / water-based,Eid al-Adha; Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day; Wedding season / family events; None - consistent spending,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Social image and status,In-store browsing,Very strongly,No,Free shipping,Likely,Very interested
45-54,Female,African,Deira / Bur Dubai / Al Karama,"5,000-10,000",Other,Monthly,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Trusted recommendations / expert staff,No loyalty,Personalised products,0% - would not pay more,Face skincare; Colour cosmetics / makeup; Personal hygiene,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Lightweight gel / water-based; Rich cream / butter-based,Eid al-Adha; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Scientific efficacy,In-store browsing,Slightly,"Yes, definitely","Percentage discount (e.g., 20% off)",Likely,Not very interested
18-24,Male,Filipino,Other,"10,001-20,000",English,Every 2-3 months,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Loyalty rewards / cashback,Somewhat loyal,Availability in my preferred store; Personalised products,11-25% more,Face skincare; Fragrance / perfume / oud,Very Important,Very Important,Not Important,Somewhat Important,Very Important,Somewhat Important,Rich cream / butter-based; Sheet masks / single-use treatments,Eid al-Adha,"Yes, occasionally (2-4 times/year)",Environmental sustainability,Friends / family; Subscription boxes; Celebrity endorsements,Not at all,Probably,Loyalty points,Likely,Interested
25-34,Male,African,Silicon Oasis / Academic City / Sports City,"20,001-35,000",English,Weekly,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy); Subscription boxes; Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Somewhat loyal,Halal / clean / organic certification,11-25% more,Body care; Men's grooming,Somewhat Important,Essential,Very Important,Not Important,Very Important,Very Important,Lightweight gel / water-based,Eid al-Adha; None - consistent spending,Rarely (once a year or less),Social image and status; Health and wellness,Friends / family,Not at all,Unsure,"Percentage discount (e.g., 20% off)",Unlikely,Neutral
45-54,Male,Emirati,Other,"10,001-20,000",English,Monthly,50-100,"Online marketplaces (Amazon.ae, Noon); Duty-free shops",Best prices / discounts,Neutral,Superior ingredients / formulation,Up to 10% more,Body care; Men's grooming; Oral care; Colour cosmetics / makeup,Essential,Somewhat Important,Somewhat Important,Very Important,Very Important,Essential,Multi-use / hybrid products,Ramadan / Eid al-Fitr; Eid al-Adha; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Scientific efficacy,TikTok; Instagram; In-store browsing,Slightly,Probably,Free sample / trial size,Likely,Neutral
18-24,Male,African,Other,"Above 50,000",Arabic,Monthly,201-400,"Brand websites / D2C apps; Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Best prices / discounts,Somewhat loyal,Halal / clean / organic certification,11-25% more,Haircare; Colour cosmetics / makeup,Somewhat Important,Somewhat Important,Somewhat Important,Essential,Essential,Somewhat Important,Lightweight gel / water-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Valentine's Day / Mother's Day,Never,Environmental sustainability,Instagram; Friends / family; YouTube,Very strongly,"Yes, definitely","Percentage discount (e.g., 20% off)",Neutral,Very interested
35-44,Male,Filipino,Deira / Bur Dubai / Al Karama,"5,000-10,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,Very loyal,Lower price / better value; Recommendation from a friend or influencer,Up to 10% more,Fragrance / perfume / oud; Oral care; Personal hygiene,Very Important,Very Important,Not Important,Very Important,Very Important,Not Important,Lightweight gel / water-based; Sheet masks / single-use treatments,Dubai Shopping Festival (DSF / DSS),"Yes, frequently (5+ times/year)",Religious compliance (halal),Celebrity endorsements,Moderately,"Yes, definitely","Percentage discount (e.g., 20% off)",Neutral,Interested
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"20,001-35,000",English,Monthly,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC); Hypermarkets (Carrefour, Lulu, Spinneys)",Convenience / delivery speed,Neutral,Lower price / better value,11-25% more,Face skincare; Body care; Haircare; Personal hygiene,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Essential,Rich cream / butter-based,Dubai Shopping Festival (DSF / DSS); None - consistent spending,"Yes, occasionally (2-4 times/year)",Health and wellness,Instagram; Friends / family,Slightly,No,Subscription discount,Likely,Not very interested
45-54,Female,African,Downtown / Business Bay / DIFC,"10,001-20,000",English,Every 2 weeks,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops; Baqala / convenience stores",Ability to test / try before buying,Somewhat loyal,Lower price / better value,Up to 10% more,Face skincare; Body care; Haircare,Very Important,Not Important,Essential,Very Important,Somewhat Important,Essential,Sheet masks / single-use treatments; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Scientific efficacy; Health and wellness,YouTube; Friends / family,Not at all,Probably,Free shipping,Likely,Neutral
55+,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"10,001-20,000",Arabic,Weekly,Above 700,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Widest product range,No loyalty,Lower price / better value,11-25% more,Body care; Haircare; Men's grooming; Oral care; Colour cosmetics / makeup; Personal hygiene,Not Important,Very Important,Somewhat Important,Very Important,Essential,Essential,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Christmas / New Year; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Religious compliance (halal); Scientific efficacy,Subscription boxes; Google search / blogs; YouTube,Not at all,Unsure,Buy-one-get-one-free (BOGO),Likely,Not very interested
55+,Male,Emirati,Silicon Oasis / Academic City / Sports City,"Above 50,000",Arabic,Every 2-3 months,401-700,"Beauty specialist stores (Sephora, Faces, MAC); Pharmacies (BinSina, Aster, Life Pharmacy); Duty-free shops",Loyalty rewards / cashback,Neutral,Recommendation from a friend or influencer,More than 50% more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Very Important,Not Important,Essential,Very Important,Very Important,Somewhat Important,Lightweight gel / water-based; Spray / mist,Eid al-Adha,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Health and wellness,YouTube; Google search / blogs; TikTok,Not at all,Probably,Subscription discount,Neutral,Very interested
25-34,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"35,001-50,000",English,Every 2 weeks,Above 700,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Best prices / discounts,Somewhat loyal,Personalised products,26-50% more,Haircare; Men's grooming; Oral care,Essential,Somewhat Important,Somewhat Important,Not Important,Somewhat Important,Essential,Lightweight gel / water-based; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),Instagram; TikTok; YouTube,Very strongly,Probably,Free sample / trial size,Neutral,Interested
45-54,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"10,001-20,000",English,Every 2 weeks,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys)",Best prices / discounts,Very loyal,Recommendation from a friend or influencer; Lower price / better value,0% - would not pay more,Face skincare; Fragrance / perfume / oud; Colour cosmetics / makeup; Personal hygiene,Not Important,Essential,Essential,Very Important,Somewhat Important,Very Important,Lightweight gel / water-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day; None - consistent spending,Rarely (once a year or less),Religious compliance (halal),TikTok; Friends / family; In-store browsing,Moderately,Probably,Loyalty points,Neutral,Not interested at all
45-54,Male,Emirati,Al Barsha / Discovery Gardens / JVC,"35,001-50,000",Arabic,Every 2 weeks,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Subscription boxes; Beauty specialist stores (Sephora, Faces, MAC)",Ability to test / try before buying,Low loyalty,Halal / clean / organic certification,0% - would not pay more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Essential,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Not Important,Lightweight gel / water-based,Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Religious compliance (halal); Heritage and tradition,YouTube; Friends / family; In-store browsing,Moderately,Unsure,Buy-one-get-one-free (BOGO),Very unlikely,Not interested at all
25-34,Female,"East Asian (Chinese, Korean, Japanese)",Dubai Marina / JBR / JLT,"10,001-20,000",English,Every 2-3 months,50-100,"Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Low loyalty,Lower price / better value,11-25% more,Face skincare; Haircare; Oral care; Colour cosmetics / makeup,Very Important,Not Important,Somewhat Important,Not Important,Very Important,Very Important,Rich cream / butter-based; Spray / mist,Diwali; Valentine's Day / Mother's Day,"Yes, occasionally (2-4 times/year)",Heritage and tradition; Environmental sustainability,Friends / family; YouTube; Celebrity endorsements,Moderately,"Yes, definitely",Free sample / trial size,Likely,Very interested
45-54,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Mirdif / Al Warqa / Rashidiya,"20,001-35,000",Hindi / Urdu,Monthly,201-400,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon); Pharmacies (BinSina, Aster, Life Pharmacy)",Convenience / delivery speed,Somewhat loyal,Recommendation from a friend or influencer,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud,Somewhat Important,Very Important,Essential,Essential,Somewhat Important,Somewhat Important,Lightweight gel / water-based; Serum / oil-based concentrate,None - consistent spending,"Yes, occasionally (2-4 times/year)",Social image and status,Friends / family; In-store browsing,Not at all,Unsure,"Percentage discount (e.g., 20% off)",Likely,Interested
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"10,001-20,000",English,Rarely / Only when needed,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Best prices / discounts,Very loyal,Superior ingredients / formulation; Recommendation from a friend or influencer,11-25% more,Haircare; Fragrance / perfume / oud; Men's grooming; Oral care; Colour cosmetics / makeup,Somewhat Important,Not Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Multi-use / hybrid products,Ramadan / Eid al-Fitr; Diwali; Valentine's Day / Mother's Day,Rarely (once a year or less),Health and wellness,Friends / family; TikTok; Instagram,Moderately,Probably,Loyalty points,Likely,Interested
